ID,lat,long,method
SP1,5.403738,117.935821,handheld
SP2,5.40409,117.935017,handheld
SP3,5.404702,117.935456,handheld
LD1,5.406637,117.960557,handheld
LD2,5.406638,117.96189,handheld
LD3,5.406901,117.960111,handheld
LD4,5.407111,117.95942,handheld
DG1,5.412258,118.039284,handheld
DG2,5.411516,118.039671,handheld
DG3,5.410647,118.042217,handheld
DG4,5.412876,118.041946,handheld
DG5,5.413676,118.04204,handheld
SP1,5.403805,117.9358167,tablet
SP1,5.403803333,117.9358183,tablet
SP1,5.403803333,117.9358167,tablet
SP1,5.403795,117.9358183,tablet
SP1,5.403796667,117.9358167,tablet
SP1,5.403796667,117.93582,tablet
SP1,5.403785,117.9358067,tablet
SP1,5.403775,117.9358117,tablet
SP1,5.403771667,117.9358167,tablet
SP1,5.403766667,117.9358217,tablet
SP1,5.403751667,117.93583,tablet
SP1,5.403741667,117.9358383,tablet
SP1,5.403756667,117.9358267,tablet
SP1,5.403756667,117.9358233,tablet
SP1,5.403745,117.9358,tablet
SP1,5.40374,117.9357933,tablet
SP1,5.403768333,117.9358567,tablet
SP1,5.40372,117.9359017,tablet
SP2,5.403918333,117.934995,tablet
SP2,5.403653333,117.935115,tablet
SP2,5.404081667,117.9350817,tablet
SP2,5.404181667,117.935055,tablet
SP2,5.404175,117.93515,tablet
SP2,5.404111667,117.93504,tablet
SP2,5.40414,117.9350667,tablet
SP2,5.404145,117.9350567,tablet
SP2,5.40406,117.9350717,tablet
SP2,5.404088333,117.935075,tablet
SP2,5.404073333,117.9350783,tablet
SP2,5.404023333,117.9350683,tablet
SP2,5.403983333,117.9350833,tablet
SP2,5.40402,117.9350767,tablet
SP2,5.404028333,117.93507,tablet
SP2,5.404018333,117.9349867,tablet
SP3,5.404653333,117.93552,tablet
SP3,5.404651667,117.9355167,tablet
SP3,5.404661667,117.9355083,tablet
SP3,5.404655,117.9355183,tablet
SP3,5.404626667,117.9354867,tablet
SP3,5.404665,117.9354667,tablet
SP3,5.404666667,117.935505,tablet
SP3,5.404643333,117.9354717,tablet
SP3,5.404651667,117.9354617,tablet
SP3,5.404655,117.9354517,tablet
SP3,5.404535,117.9354417,tablet
SP3,5.404533333,117.93547,tablet
SP3,5.40458,117.935405,tablet
SP3,5.404573333,117.9354033,tablet
SP3,5.404573333,117.9354033,tablet
SP3,5.404576667,117.9354083,tablet
LD1,5.406913333,117.9601283,tablet
LD1,5.406806667,117.9601917,tablet
LD1,5.4068,117.96021,tablet
LD1,5.40682,117.9602267,tablet
LD1,5.406713333,117.9602967,tablet
LD1,5.406676667,117.96033,tablet
LD1,5.406665,117.96034,tablet
LD1,5.406655,117.960345,tablet
LD1,5.406636667,117.9603567,tablet
LD1,5.406611667,117.9603883,tablet
LD1,5.406666667,117.9603733,tablet
LD1,5.406641667,117.9603783,tablet
LD2,5.406643333,117.96109,tablet
LD2,5.40664,117.9611967,tablet
LD2,5.40668,117.96125,tablet
LD2,5.406693333,117.9612633,tablet
LD2,5.406691667,117.96126,tablet
LD2,5.406708333,117.9613183,tablet
LD2,5.406745,117.9614917,tablet
LD2,5.406718333,117.9615167,tablet
LD2,5.406726667,117.9615733,tablet
LD2,5.406715,117.961575,tablet
LD2,5.40668,117.9616133,tablet
LD2,5.406685,117.96162,tablet
LD2,5.40667,117.9616267,tablet
LD3,5.406738333,117.9608583,tablet
LD3,5.406686667,117.9608117,tablet
LD3,5.406696667,117.9608167,tablet
LD3,5.406725,117.960805,tablet
LD3,5.406713333,117.9608067,tablet
LD3,5.406716667,117.9607933,tablet
LD3,5.406723333,117.9607867,tablet
LD3,5.406716667,117.96079,tablet
LD3,5.406831667,117.960735,tablet
LD3,5.40683,117.9607233,tablet
LD3,5.406908333,117.96064,tablet
LD3,5.406898333,117.9606383,tablet
LD3,5.406925,117.9605767,tablet
LD3,5.406921667,117.9605717,tablet
LD3,5.406935,117.9605733,tablet
LD4,5.407096667,117.959445,tablet
LD4,5.407273333,117.9593817,tablet
LD4,5.407173333,117.9593717,tablet
LD4,5.407191667,117.9593967,tablet
LD4,5.407203333,117.959425,tablet
LD4,5.407016667,117.9594133,tablet
LD4,5.407105,117.9594883,tablet
LD4,5.40712,117.9593367,tablet
LD4,5.407176667,117.9593617,tablet
LD4,5.407078333,117.959245,tablet
LD4,5.407173333,117.9592433,tablet
LD4,5.40718,117.9592067,tablet
LD4,5.407271667,117.9592567,tablet
LD4,5.407193333,117.9594033,tablet
LD4,5.407333333,117.95933,tablet
DG1,5.412408333,118.0391383,tablet
DG1,5.410865,118.04082,tablet
DG1,5.40935,118.0430533,tablet
DG1,5.409326667,118.0428967,tablet
DG1,5.412285,118.0392983,tablet
DG1,5.408626667,118.0433583,tablet
DG1,5.411945,118.0395683,tablet
DG1,5.412065,118.039405,tablet
DG1,5.412203333,118.0394033,tablet
DG1,5.412061667,118.0392767,tablet
DG1,5.419903333,118.0362967,tablet
DG1,5.412555,118.0391267,tablet
DG1,5.412435,118.0391783,tablet
DG1,5.412403333,118.0391583,tablet
DG2,5.410448333,118.0429333,tablet
DG2,5.411638333,118.0394467,tablet
DG2,5.411668333,118.0396217,tablet
DG2,5.411506667,118.0397833,tablet
DG2,5.408163333,118.0430667,tablet
DG2,5.40895,118.043815,tablet
DG2,5.411901667,118.0394783,tablet
DG2,5.417893333,118.03733,tablet
DG2,5.41158,118.0397967,tablet
DG2,5.415863333,118.0388517,tablet
DG2,5.417383333,118.037195,tablet
DG2,5.41164,118.0395883,tablet
DG2,5.409781667,118.044185,tablet
DG2,5.411045,118.0404117,tablet
DG2,5.411766667,118.0396067,tablet
DG2,5.415555,118.038855,tablet
DG2,5.416891667,118.038565,tablet
DG2,5.418946667,118.035715,tablet
DG3,5.41064,118.0420583,tablet
DG3,5.410593333,118.04209,tablet
DG3,5.41066,118.04222,tablet
DG3,5.410671667,118.0422283,tablet
DG3,5.410571667,118.04225,tablet
DG3,5.416653333,118.0330283,tablet
DG3,5.414996667,118.0353717,tablet
DG3,5.410901667,118.041945,tablet
DG3,5.410595,118.0421333,tablet
DG3,5.41077,118.0422667,tablet
DG3,5.41084,118.0421517,tablet
DG3,5.410506667,118.0422367,tablet
DG3,5.414276667,118.048865,tablet
DG3,5.41018,118.04225,tablet
DG3,5.414405,118.0345183,tablet
DG4,5.412978333,118.0422417,tablet
DG4,5.413198333,118.0420967,tablet
DG4,5.412845,118.0419367,tablet
DG4,5.413178333,118.04236,tablet
DG4,5.413061667,118.0419733,tablet
DG4,5.412938333,118.0422217,tablet
DG4,5.412818333,118.0419833,tablet
DG4,5.413018333,118.042425,tablet
DG4,5.413646667,118.0430283,tablet
DG4,5.413141667,118.0429833,tablet
DG4,5.409088333,118.041605,tablet
DG4,5.40745,118.0406783,tablet
DG4,5.413828333,118.0420483,tablet
DG4,5.41294,118.0419467,tablet
DG4,5.41292,118.0418717,tablet
DG4,5.412943333,118.0420967,tablet
DG5,5.40995,118.041595,tablet
DG5,5.410306667,118.0399483,tablet
DG5,5.413146667,118.041575,tablet
DG5,5.413741667,118.0420367,tablet
DG5,5.413735,118.04191,tablet
DG5,5.406785,118.0399667,tablet
DG5,5.413608333,118.0417317,tablet
DG5,5.413848333,118.041875,tablet
DG5,5.413908333,118.04215,tablet
DG5,5.413721667,118.0410467,tablet
DG5,5.40905,118.0422717,tablet
DG5,5.413988333,118.0419533,tablet
DG5,5.40702,118.04258,tablet
DG5,5.406435,118.0423467,tablet
DG5,5.413638333,118.0418233,tablet
SP1,5.4037172,117.935744,watch
SP1,5.4036568,117.935872,watch
SP1,5.403564,117.9357056,watch
SP1,5.4037636,117.9358208,watch
SP2,5.4041936,117.9350784,watch
SP2,5.4040996,117.9350656,watch
SP2,5.4041128,117.9350784,watch
SP2,5.4041688,117.9350912,watch
SP3,5.4047776,117.935488,watch
SP3,5.4046888,117.9354112,watch
SP3,5.4047556,117.93536,watch
SP3,5.4047336,117.9355264,watch
LD1,5.406692,117.9604096,watch
LD1,5.4067264,117.9602688,watch
LD1,5.4067276,117.9603072,watch
LD2,5.4065992,117.9618432,watch
LD2,5.406568,117.96192,watch
LD2,5.4064484,117.9620992,watch
LD2,5.406344,117.9618176,watch
LD3,5.4070116,117.9599744,watch
LD3,5.4069272,117.9600768,watch
LD3,5.40686,117.960064,watch
LD3,5.4067636,117.9601792,watch
LD4,5.4068532,117.9593728,watch
LD4,5.4071156,117.9593728,watch
LD4,5.4072684,117.9593984,watch
LD4,5.4070764,117.9594752,watch
DG1,5.4120136,118.0391424,watch
DG1,5.4122024,118.0392576,watch
DG1,5.4121252,118.0392192,watch
DG1,5.412042,118.039168,watch
DG1,5.4122004,118.039232,watch
DG2,5.4113768,118.0395648,watch
DG2,5.4114432,118.0395392,watch
DG2,5.4114828,118.0395776,watch
DG2,5.4112464,118.0397824,watch
DG2,5.4115296,118.0396544,watch
DG3,5.4106556,118.0422784,watch
DG3,5.4106156,118.0421248,watch
DG3,5.4106732,118.04224,watch
DG3,5.4107228,118.042368,watch
DG4,5.4130028,118.0419712,watch
DG4,5.4129804,118.0421248,watch
DG4,5.4128672,118.0420224,watch
DG4,5.4128512,118.0419328,watch
DG5,5.4137468,118.0421248,watch
DG5,5.4138604,118.0422784,watch
DG5,5.4137568,118.04192,watch
DG5,5.413774,118.0420096,watch
